2015,06,22, Luminosity, 05, Cloud9, 16, cache, 08, 17, 0.50 
2015,06,21, Luminosity, 16, Nihilum, 10, overpass, 22, 18, 1.10 
2015,06,20, Cloud9, 16, Luminosity, 07, inferno, 10, 19, 0.58 
2015,06,19, Cloud9, 16, Luminosity, 08, inferno, 10, 18, 0.65 
2015,06,18, Luminosity, 16, mouseSpaz, 03, dust2, 16, 09, 1.35 
2015,06,17, CLG, 16, Luminosity, 11, mirage, 12, 24, 0.50 
2015,06,12, Luminosity, 16, Method, 12, train, 20, 16, 1.11 
2015,06,12, Luminosity, 27, KeydStars, 31, mirage, 52, 43, 1.15 
2015,06,12, Luminosity, 16, CLG, 13, inferno, 24, 15, 1.27 
2015,06,11, eLevate, 22, Luminosity, 26, cobblestone, 36, 33, 1.03 
2015,06,09, Luminosity, 16, Liquid, 06, cobblestone, 23, 11, 1.60 
2015,06,08, Luminosity, 16, eLevate, 06, cache, 12, 11, 0.92 
2015,06,08, eLevate, 16, Luminosity, 11, mirage, 20, 24, 0.90 
2015,06,05, vVv, 04, Luminosity, 16, mirage, 18, 08, 1.53 
2015,06,05, Luminosity, 16, vVv, 07, overpass, 26, 09, 1.87 
2015,06,04, Luminosity, 16, affNity, 05, dust2, 12, 12, 0.88 
2015,06,03, KeydStars, 10, Luminosity, 16, inferno, 19, 14, 1.13 
2015,06,03, Luminosity, 16, KeydStars, 06, cobblestone, 19, 11, 1.45 
2015,06,02, Luminosity, 16, affNity, 06, dust2, 15, 13, 1.11 
2015,06,02, Luminosity, 16, affNity, 05, mirage, 31, 09, 2.25 
2015,05,31, Luminosity, 16, TempoStorm, 06, train, 30, 10, 2.22 
2015,05,31, Luminosity, 16, TempoStorm, 09, cache, 18, 15, 1.07 
2015,05,28, Luminosity, 16, Nihilum, 12, overpass, 19, 23, 0.92 
2015,05,28, Luminosity, 16, Ubinited, 02, inferno, 15, 12, 1.16 
2015,05,28, Ubinited, 11, Luminosity, 16, cache, 23, 18, 1.16 
2015,05,27, TempoStorm, 05, Luminosity, 16, mirage, 13, 14, 0.84 
2015,05,27, Luminosity, 16, TempoStorm, 08, dust2, 17, 19, 0.93 
2015,05,25, Luminosity, 16, ACE, 05, inferno, 21, 08, 1.67 
2015,05,22, Cloud9, 16, Luminosity, 12, mirage, 22, 22, 1.00 
2015,05,21, Luminosity, 16, LunatiK, 09, cache, 20, 19, 1.14 
2015,05,21, LunatiK, 16, Luminosity, 11, mirage, 19, 18, 1.05 
2015,05,19, mouseSpaz, 19, Luminosity, 17, cobblestone, 26, 25, 1.03 
2015,05,18, SKDC, 12, Luminosity, 16, inferno, 29, 16, 1.57 
2015,05,18, Luminosity, 10, SKDC, 16, cache, 20, 18, 1.16 
2015,05,14, Luminosity, 15, KeydStars, 19, train, 24, 24, 0.96 
2015,05,14, Luminosity, 22, eLevate, 19, inferno, 37, 25, 1.31 
2015,05,13, Luminosity, 16, Nihilum, 06, dust2, 20, 09, 1.56 
2015,05,13, Nihilum, 16, Luminosity, 09, cache, 14, 19, 0.73 
2015,05,13, Luminosity, 16, CLG, 10, cache, 21, 16, 1.16 
2015,05,13, CLG, 09, Luminosity, 16, inferno, 20, 14, 1.24 
2015,05,09, LunatiK, 10, ACE, 16, cache, 27, 17, 1.46 
2015,05,09, ACE, 16, LunatiK, 10, inferno, 17, 15, 0.94 
2015,05,09, LunatiK, 04, ACE, 16, dust2, 18, 10, 1.33 
2015,05,08, vVv, 14, ACE, 16, inferno, 34, 21, 1.62 
2015,05,08, ACE, 14, vVv, 16, cache, 27, 24, 1.17 
2015,05,08, Liquid, 16, TempoStorm, 07, inferno, 23, 12, 1.53 
2015,04,03, Liquid, 16, CLG, 07, mirage, 09, 13, 0.73 
2015,02,27, Liquid, 16, SKDC, 04, mirage, 15, 08, 1.29 
2015,02,25, Mythic, 12, Liquid, 16, inferno, 17, 18, 0.99 
2015,02,20, CLG, 12, Liquid, 16, mirage, 26, 17, 1.28 
2015,02,19, Liquid, 16, eLevate, 09, inferno, 22, 17, 1.25 
2015,02,14, CPHWolves, 16, Liquid, 10, mirage, 12, 18, 0.70 
2015,02,14, FlipSid3, 16, Liquid, 14, mirage, 17, 24, 0.71 
2015,01,24, Liquid, 06, LDLC, 16, dust2, 11, 19, 0.56 
2015,01,24, Liquid, 16, CLG, 05, cache, 11, 13, 0.80 
2015,01,23, fnatic, 16, Liquid, 03, inferno, 07, 18, 0.35 
2014,12,19, iBUYPOWER, 16, Denial, 05, dust2, 15, 18, 0.88 
2014,12,19, iBUYPOWER, 16, Denial, 14, inferno, 23, 19, 1.19 
2014,12,19, Denial, 06, iBUYPOWER, 16, cache, 08, 19, 0.44 
2014,12,07, iBUYPOWER, 16, Denial, 12, inferno, 18, 22, 0.96 
2014,12,07, Denial, 13, iBUYPOWER, 16, cache, 27, 21, 1.22 
2014,12,07, Denial, 16, Cloud9, 14, mirage, 24, 19, 1.24 
2014,12,07, Cloud9, 16, Denial, 19, inferno, 24, 28, 0.84 
2014,12,06, Denial, 16, eLevate, 10, inferno, 30, 17, 1.65 
2014,12,06, Denial, 19, eLevate, 16, cache, 22, 24, 0.93 
2014,12,06, eLevate, 16, Denial, 13, season, 26, 20, 1.26 
2014,12,06, Denial, 12, Titan, 16, mirage, 30, 16, 1.74 
2014,12,06, Titan, 22, Denial, 19, inferno, 29, 27, 1.05 
2014,12,06, All-StarsNA, 05, All-StarsEurope, 16, dust2, 15, 16, 0.94 
2014,11,10, iBUYPOWER, 16, Denial, 09, cache, 12, 21, 0.55 
2014,11,10, Denial, 09, iBUYPOWER, 16, dust2, 11, 19, 0.63 
2014,11,10, iBUYPOWER, 12, Denial, 16, inferno, 24, 18, 1.10 
2014,11,10, Denial, 13, iBUYPOWER, 16, mirage, 17, 24, 0.79 
2014,10,21, Denial, 10, NetcodeGuides.com, 16, nuke, 16, 22, 0.80 
2014,10,09, iBUYPOWER, 31, LunatiK, 27, dust2, 41, 39, 1.06 
2014,10,02, NetcodeGuides.com, 16, LunatiK, 10, nuke, 23, 19, 1.18 
2014,09,18, LunatiK, 16, savage, 06, inferno, 19, 13, 1.27 
2014,09,17, Mobility, 12, LunatiK, 16, inferno, 14, 15, 0.80 
2014,09,04, Cloud9, 16, LunatiK, 11, dust2, 15, 22, 0.67 
