2015,09,12, TSM, 16, Virtus.pro, 03, dust2, 16, 09, 1.32 
2015,09,12, Virtus.pro, 16, TSM, 07, train, 09, 19, 0.49 
2015,09,12, TSM, 16, Virtus.pro, 13, overpass, 18, 18, 0.97 
2015,09,11, NiP, 10, TSM, 16, inferno, 20, 18, 1.09 
2015,09,11, TSM, 16, NiP, 08, mirage, 19, 14, 1.15 
2015,09,11, TSM, 07, NiP, 16, dust2, 15, 17, 0.88 
2015,09,10, fnatic, 17, TSM, 19, dust2, 29, 21, 1.29 
2015,09,10, NatusVincere, 10, TSM, 16, overpass, 21, 16, 1.21 
2015,09,05, fnatic, 16, TSM, 09, inferno, 16, 19, 0.82 
2015,09,05, TSM, 13, fnatic, 16, mirage, 07, 21, 0.43 
2015,09,05, TSM, 16, fnatic, 06, train, 17, 11, 1.19 
2015,09,05, TSM, 10, fnatic, 16, dust2, 08, 22, 0.38 
2015,09,05, fnatic, 16, TSM, 12, cobblestone, 16, 19, 0.93 
2015,09,04, TSM, 21, Kinguin, 18, mirage, 30, 25, 1.19 
2015,09,04, Kinguin, 15, TSM, 21, dust2, 23, 20, 0.99 
2015,09,04, TSM, 07, Kinguin, 16, train, 18, 18, 1.06 
2015,09,03, TSM, 16, NatusVincere, 10, dust2, 21, 19, 1.05 
2015,09,03, TSM, 16, mousesports, 07, overpass, 20, 09, 1.58 
2015,09,02, TSM, 16, NatusVincere, 11, overpass, 19, 15, 1.10 
2015,09,02, TSM, 16, NatusVincere, 09, dust2, 19, 11, 1.25 
2015,08,28, Virtus.pro, 16, TSM, 12, mirage, 15, 18, 0.82 
2015,08,28, TSM, 12, Virtus.pro, 16, cache, 17, 22, 0.87 
2015,08,28, Virtus.pro, 06, TSM, 16, overpass, 21, 13, 1.29 
2015,08,28, TSM, 14, Virtus.pro, 16, train, 26, 22, 1.19 
2015,08,28, Virtus.pro, 13, TSM, 16, inferno, 20, 18, 0.99 
2015,08,27, TSM, 12, NatusVincere, 16, overpass, 17, 17, 0.91 
2015,08,27, NatusVincere, 16, TSM, 04, dust2, 14, 18, 0.90 
2015,08,27, TSM, 16, NatusVincere, 12, mirage, 23, 19, 1.20 
2015,08,26, Kinguin, 12, TSM, 16, dust2, 22, 16, 1.25 
2015,08,26, TSM, 16, Kinguin, 05, train, 17, 13, 1.15 
2015,08,23, TSM, 09, EnVyUs, 16, inferno, 15, 16, 1.03 
2015,08,23, EnVyUs, 08, TSM, 16, dust2, 14, 13, 0.96 
2015,08,23, TSM, 12, EnVyUs, 16, cache, 19, 20, 0.92 
2015,08,22, Kinguin, 08, TSM, 16, overpass, 15, 13, 0.99 
2015,08,22, TSM, 16, Kinguin, 06, dust2, 14, 14, 0.99 
2015,08,20, NiP, 03, TSM, 16, cache, 10, 09, 0.93 
2015,08,20, TSM, 16, Renegades, 11, train, 15, 15, 0.91 
2015,08,13, TSM, 16, fnatic, 10, dust2, 10, 12, 0.78 
2015,08,13, TSM, 16, fnatic, 04, inferno, 17, 10, 1.44 
2015,08,10, PENTA, 05, TSM, 16, train, 21, 08, 1.59 
2015,08,10, TSM, 16, PENTA, 08, mirage, 20, 10, 1.39 
2015,08,08, EnVyUs, 16, TSM, 12, inferno, 25, 21, 1.22 
2015,08,08, TSM, 09, EnVyUs, 16, cobblestone, 19, 21, 0.95 
2015,08,08, TSM, 03, EnVyUs, 16, cache, 13, 15, 0.79 
2015,08,08, TSM, 16, Renegades, 04, dust2, 26, 07, 2.05 
2015,08,07, TSM, 16, 0SK, 06, overpass, 17, 13, 1.16 
