2015,06,27, EnVyUs, 16, mousesports, 06, dust2, 11, 17, 0.66 
2015,06,26, mousesports, 16, Virtus.pro, 05, cache, 24, 11, 1.59 
2015,06,26, Virtus.pro, 20, mousesports, 22, cobblestone, 26, 28, 0.94 
2015,06,25, PENTA, 03, mousesports, 16, dust2, 25, 10, 1.88 
2015,06,25, mousesports, 16, PENTA, 13, mirage, 17, 18, 0.88 
2015,06,24, NiP, 16, mousesports, 09, dust2, 14, 19, 0.76 
2015,06,24, mousesports, 09, NiP, 16, inferno, 20, 18, 1.05 
2015,06,23, NatusVincere, 06, mousesports, 16, dust2, 23, 11, 1.55 
2015,06,23, mousesports, 16, NatusVincere, 05, mirage, 16, 08, 1.22 
2015,06,21, mousesports, 05, TSM, 16, overpass, 13, 19, 0.73 
2015,06,21, TSM, 14, mousesports, 16, cache, 18, 16, 1.02 
2015,06,20, mousesports, 16, FlipSid3, 01, cache, 18, 04, 1.88 
2015,06,18, mousesports, 07, fnatic, 16, inferno, 11, 21, 0.55 
2015,06,18, NiP, 16, mousesports, 10, overpass, 10, 18, 0.62 
2015,06,17, Titan, 13, mousesports, 16, dust2, 18, 17, 0.94 
2015,06,16, mousesports, 16, PENTA, 13, mirage, 22, 19, 1.10 
2015,06,16, mousesports, 10, PENTA, 16, dust2, 09, 17, 0.59 
2015,06,16, Virtus.pro, 16, mousesports, 08, inferno, 18, 18, 1.05 
2015,06,16, Virtus.pro, 16, mousesports, 14, train, 21, 19, 0.99 
2015,06,14, mousesports, 16, HellRaisers, 06, cache, 20, 13, 1.36 
2015,06,14, HellRaisers, 16, mousesports, 11, train, 10, 21, 0.56 
2015,05,27, mousesports, 09, HellRaisers, 16, dust2, 11, 18, 0.67 
2015,05,26, mousesports, 16, GPlay, 12, cobblestone, 14, 19, 0.72 
2015,05,26, mousesports, 16, GPlay, 14, cache, 12, 23, 0.60 
2015,05,26, mousesports, 10, NiP, 16, mirage, 17, 22, 0.81 
2015,05,26, dignitas, 16, mousesports, 09, overpass, 17, 17, 0.99 
2015,05,25, PENTA, 02, mousesports, 16, cobblestone, 17, 07, 1.58 
2015,05,25, CPLAY, 08, mousesports, 16, cobblestone, 18, 14, 1.23 
2015,05,25, CPLAY, 10, mousesports, 16, overpass, 20, 12, 1.20 
2015,05,24, Acer, 03, mousesports, 16, overpass, 19, 07, 1.63 
2015,05,24, Acer, 11, mousesports, 16, mirage, 26, 13, 1.44 
2015,05,24, Acer, 16, mousesports, 13, dust2, 14, 20, 0.74 
2015,05,20, 0G2, 16, mousesports, 02, mirage, 02, 18, 0.13 
2015,05,19, mousesports, 16, Titan, 08, train, 19, 13, 1.30 
2015,05,19, mousesports, 16, EnVyUs, 10, mirage, 16, 19, 0.82 
2015,05,19, mousesports, 16, 0G2, 10, cache, 23, 17, 1.29 
2015,05,19, 0G2, 14, mousesports, 16, train, 12, 21, 0.73 
2015,05,18, mousesports, 16, LGB, 10, cache, 25, 14, 1.40 
2015,05,18, LGB, 16, mousesports, 08, mirage, 07, 18, 0.45 
2015,05,18, mousesports, 10, FlipSid3, 16, overpass, 13, 22, 0.61 
2015,05,15, mousesports, 25, GPlay, 23, inferno, 33, 32, 0.94 
2015,05,15, mousesports, 16, GPlay, 06, overpass, 25, 13, 1.55 
2015,05,14, mousesports, 16, Publiclir.se, 05, mirage, 14, 12, 0.99 
2015,05,14, Publiclir.se, 10, mousesports, 16, overpass, 15, 14, 1.01 
2015,05,13, mousesports, 16, PENTA, 07, inferno, 13, 14, 0.87 
2015,05,13, PENTA, 13, mousesports, 16, dust2, 26, 18, 1.24 
2015,05,13, ESC, 05, mousesports, 16, overpass, 14, 12, 0.99 
2015,05,13, ESC, 06, mousesports, 16, cobblestone, 13, 13, 0.91 
2015,05,12, mousesports, 09, Titan, 16, cobblestone, 10, 17, 0.73 
2015,05,12, Titan, 11, mousesports, 16, overpass, 15, 12, 0.98 
2015,05,11, mousesports, 10, TSM, 16, cobblestone, 16, 20, 0.84 
2015,05,11, mousesports, 16, Property, 06, cache, 18, 14, 1.14 
2015,05,11, Property, 12, mousesports, 16, cobblestone, 20, 14, 1.15 
2015,05,07, mousesports, 16, HellRaisers, 12, dust2, 19, 17, 0.97 
2015,05,06, fnatic, 16, mousesports, 06, inferno, 10, 15, 0.67 
2015,05,05, mousesports, 06, dignitas, 16, inferno, 11, 15, 0.91 
2015,05,04, PENTA, 16, mousesports, 10, cache, 19, 19, 1.01 
2015,04,29, PENTA, 16, 0G2, 11, cobblestone, 26, 17, 1.38 
2015,04,29, 0G2, 13, PENTA, 16, cache, 25, 19, 1.28 
2015,04,29, PENTA, 21, 0G2, 25, mirage, 34, 30, 1.09 
2015,04,29, PENTA, 07, dignitas, 16, dust2, 20, 18, 1.23 
2015,04,29, dignitas, 16, PENTA, 03, inferno, 09, 17, 0.54 
2015,04,28, NatusVincere, 16, PENTA, 08, cobblestone, 22, 18, 1.38 
2015,04,28, NatusVincere, 16, PENTA, 11, dust2, 22, 18, 1.04 
2015,04,27, Property, 16, PENTA, 01, mirage, 02, 17, 0.10 
2015,04,27, PENTA, 22, Property, 19, cache, 42, 26, 1.45 
2015,04,22, PENTA, 05, 0G2, 16, nuke, 06, 18, 0.44 
2015,04,22, PENTA, 04, 0G2, 16, mirage, 11, 17, 0.70 
2015,04,20, CPHWolves, 07, PENTA, 16, inferno, 28, 14, 1.71 
2015,04,20, PENTA, 14, CPHWolves, 16, mirage, 22, 20, 0.96 
2015,04,19, PENTA, 18, NatusVincere, 21, dust2, 26, 30, 0.92 
2015,04,19, PENTA, 16, NatusVincere, 05, mirage, 11, 09, 0.99 
2015,04,16, x6tence, 14, PENTA, 16, inferno, 12, 17, 0.74 
2015,04,16, x6tence, 23, PENTA, 25, mirage, 34, 34, 0.93 
2015,04,15, PENTA, 06, FlipSid3, 16, inferno, 12, 20, 0.66 
