2015,09,10, NatusVincere, 10, Titan, 16, cobblestone, 19, 22, 0.91 
2015,09,10, NatusVincere, 10, TSM, 16, overpass, 16, 21, 0.76 
2015,09,09, NatusVincere, 11, Kinguin, 16, mirage, 17, 19, 0.96 
2015,09,09, NatusVincere, 19, Titan, 15, overpass, 32, 22, 1.33 
2015,09,08, NatusVincere, 22, Virtus.pro, 18, mirage, 28, 29, 0.90 
2015,09,08, NatusVincere, 16, mousesports, 13, cobblestone, 19, 21, 0.87 
2015,09,07, NatusVincere, 11, Kinguin, 16, inferno, 10, 21, 0.53 
2015,09,07, NatusVincere, 04, Kinguin, 16, dust2, 09, 17, 0.59 
2015,09,07, NatusVincere, 16, Kinguin, 05, mirage, 12, 11, 0.92 
2015,09,07, NatusVincere, 16, MiA, 05, dust2, 18, 12, 1.45 
2015,09,07, NatusVincere, 16, MiA, 09, mirage, 16, 12, 1.05 
2015,09,04, Kinguin, 16, NatusVincere, 11, inferno, 14, 21, 0.83 
2015,09,03, NatusVincere, 19, HellRaisers, 21, dust2, 37, 27, 1.33 
2015,09,03, NatusVincere, 08, HellRaisers, 16, overpass, 22, 17, 1.32 
2015,09,03, TSM, 16, NatusVincere, 10, dust2, 11, 17, 0.70 
2015,09,03, dignitas, 06, NatusVincere, 16, overpass, 26, 10, 1.80 
2015,09,02, TSM, 16, NatusVincere, 11, overpass, 19, 18, 1.03 
2015,09,02, TSM, 16, NatusVincere, 09, dust2, 11, 19, 0.56 
2015,08,29, Virtus.pro, 16, NatusVincere, 11, overpass, 21, 19, 1.02 
2015,08,29, NatusVincere, 24, Virtus.pro, 26, train, 44, 36, 1.18 
2015,08,29, Virtus.pro, 16, NatusVincere, 06, inferno, 08, 18, 0.48 
2015,08,27, TSM, 12, NatusVincere, 16, overpass, 16, 15, 0.98 
2015,08,27, NatusVincere, 16, TSM, 04, dust2, 15, 15, 1.00 
2015,08,27, TSM, 16, NatusVincere, 12, mirage, 19, 17, 1.03 
2015,08,26, Virtus.pro, 06, NatusVincere, 16, overpass, 20, 10, 1.39 
2015,08,26, Virtus.pro, 13, NatusVincere, 16, inferno, 30, 22, 1.30 
2015,08,26, NatusVincere, 13, Virtus.pro, 16, train, 26, 19, 1.31 
2015,08,22, EnVyUs, 16, NatusVincere, 10, mirage, 12, 19, 0.67 
2015,08,22, NatusVincere, 13, EnVyUs, 16, inferno, 23, 19, 1.20 
2015,08,21, NatusVincere, 16, CLG, 14, cobblestone, 20, 19, 0.95 
2015,08,20, fnatic, 16, NatusVincere, 02, inferno, 06, 18, 0.28 
2015,08,20, NatusVincere, 19, Titan, 17, overpass, 25, 22, 1.09 
2015,08,13, EnVyUs, 16, NatusVincere, 09, mirage, 11, 21, 0.57 
2015,08,13, EnVyUs, 16, NatusVincere, 11, inferno, 14, 18, 0.83 
2015,08,11, dignitas, 09, NatusVincere, 16, train, 17, 18, 0.87 
2015,08,11, dignitas, 15, NatusVincere, 21, mirage, 25, 24, 1.01 
2015,07,26, NatusVincere, 15, Virtus.pro, 19, mirage, 27, 24, 1.13 
2015,07,26, Virtus.pro, 07, NatusVincere, 16, cobblestone, 12, 14, 0.81 
2015,07,26, NatusVincere, 11, Virtus.pro, 16, cache, 14, 23, 0.64 
2015,07,26, Virtus.pro, 16, NatusVincere, 08, overpass, 21, 18, 1.20 
2015,07,26, NatusVincere, 16, mousesports, 14, dust2, 15, 19, 0.75 
2015,07,26, NatusVincere, 16, mousesports, 09, overpass, 26, 12, 1.50 
2015,07,25, TempoStorm, 08, NatusVincere, 16, cobblestone, 22, 15, 1.34 
2015,07,25, NatusVincere, 22, TempoStorm, 25, inferno, 32, 34, 0.96 
2015,07,25, TempoStorm, 13, NatusVincere, 16, mirage, 19, 18, 1.09 
2015,07,25, NatusVincere, 05, Virtus.pro, 16, train, 12, 17, 0.74 
2015,07,25, Virtus.pro, 19, NatusVincere, 15, overpass, 18, 25, 0.78 
2015,07,24, NatusVincere, 16, Luminosity, 08, dust2, 12, 15, 0.87 
2015,07,24, NatusVincere, 16, Luminosity, 03, overpass, 16, 08, 1.33 
2015,07,22, dignitas, 10, NatusVincere, 16, mirage, 12, 17, 0.78 
