2015,06,03, Cloud9, 16, Method, 12, train, 18, 21, 0.84 
2015,06,03, CLG, 10, Cloud9, 16, dust2, 19, 19, 1.01 
2015,06,02, ACE, 03, Cloud9, 16, cobblestone, 23, 08, 1.76 
2015,06,02, TempoStorm, 16, Cloud9, 13, inferno, 22, 21, 1.00 
2015,06,01, CLG, 13, Cloud9, 16, cache, 22, 21, 0.97 
2015,05,28, Nihilum, 12, Cloud9, 16, inferno, 19, 20, 0.92 
2015,05,28, Cloud9, 16, affNity, 09, overpass, 23, 15, 1.30 
2015,05,27, Method, 03, Cloud9, 16, train, 28, 09, 2.24 
2015,05,25, Cloud9, 16, vVv, 04, inferno, 23, 08, 1.80 
2015,05,25, vVv, 02, Cloud9, 16, cache, 18, 09, 1.58 
2015,05,25, TempoStorm, 07, Cloud9, 16, train, 18, 20, 1.04 
2015,05,24, Cloud9, 08, eLevate, 16, mirage, 12, 21, 0.54 
2015,05,24, eLevate, 17, Cloud9, 19, cobblestone, 32, 25, 1.23 
2015,05,21, Cloud9, 16, KeydStars, 12, dust2, 23, 19, 1.05 
2015,05,16, Titan, 16, Cloud9, 09, inferno, 19, 21, 0.81 
2015,05,16, Cloud9, 06, Titan, 16, cache, 11, 18, 0.78 
2015,05,16, EnVyUs, 16, Cloud9, 10, dust2, 18, 21, 0.91 
2015,05,16, EnVyUs, 16, Cloud9, 05, cache, 14, 18, 0.78 
2015,05,15, Virtus.pro, 16, Cloud9, 07, train, 08, 19, 0.46 
2015,05,15, Virtus.pro, 16, Cloud9, 09, cache, 24, 19, 1.30 
2015,05,15, Immunity, 06, Cloud9, 16, cache, 10, 12, 0.83 
2015,05,15, Immunity, 02, Cloud9, 16, train, 15, 10, 1.19 
2015,05,11, Cloud9, 16, ACE, 05, inferno, 18, 09, 1.38 
2015,05,11, ACE, 14, Cloud9, 16, overpass, 34, 20, 1.64 
2015,05,06, Liquid, 13, Cloud9, 16, overpass, 23, 20, 1.06 
2015,05,06, Cloud9, 16, Method, 00, overpass, 21, 04, 2.07 
2015,05,06, Method, 16, Cloud9, 13, cache, 20, 21, 0.96 
2015,05,05, mouseSpaz, 07, Cloud9, 16, inferno, 12, 16, 0.73 
2015,05,01, Cloud9, 03, Luminosity, 16, inferno, 08, 16, 0.50 
2015,05,01, Luminosity, 12, Cloud9, 16, cache, 22, 22, 1.08 
2015,04,18, Nihilum, 16, Cloud9, 13, cache, 23, 19, 1.07 
2015,04,18, Nihilum, 16, Cloud9, 05, inferno, 10, 17, 0.64 
2015,04,18, Cloud9, 10, mousesports, 16, cache, 16, 21, 0.83 
2015,04,18, Cloud9, 11, mousesports, 16, inferno, 21, 18, 1.07 
2015,04,17, All-StarsEurope, 16, All-StarsNA, 12, dust2, 18, 18, 1.01 
2015,04,09, Liquid, 09, Cloud9, 16, cache, 13, 15, 0.78 
2015,04,09, CLG, 16, Cloud9, 04, nuke, 11, 19, 0.70 
2015,04,03, eLevate, 16, Cloud9, 14, nuke, 18, 22, 0.87 
2015,04,01, Cloud9, 16, Mythic, 08, cache, 22, 11, 1.45 
2015,03,27, Cloud9, 13, Liquid, 16, cobblestone, 16, 23, 0.73 
2015,03,25, SKDC, 05, Cloud9, 16, dust2, 13, 12, 1.01 
2015,03,22, Virtus.pro, 16, Cloud9, 03, inferno, 06, 17, 0.38 
2015,03,22, Virtus.pro, 16, Cloud9, 13, nuke, 22, 20, 1.07 
2015,03,22, Cloud9, 10, EnVyUs, 16, cache, 13, 19, 0.73 
2015,03,22, EnVyUs, 16, Cloud9, 08, cobblestone, 10, 21, 0.50 
2015,03,21, Orbit, 05, Cloud9, 16, cache, 10, 12, 0.86 
2015,03,21, Orbit, 10, Cloud9, 16, nuke, 16, 21, 0.76 
2015,03,21, Virtus.pro, 16, Cloud9, 05, inferno, 17, 17, 0.97 
2015,03,21, Cloud9, 08, Virtus.pro, 16, nuke, 24, 16, 1.58 
2015,03,21, Cloud9, 16, Virtus.pro, 09, cobblestone, 25, 16, 1.43 
2015,03,21, Cloud9, 16, Orbit, 05, cobblestone, 23, 09, 1.69 
2015,03,21, Orbit, 09, Cloud9, 16, inferno, 31, 15, 1.90 
2015,03,21, Cloud9, 17, Orbit, 19, cache, 41, 23, 1.76 
2015,03,12, TSM, 16, Cloud9, 08, overpass, 12, 19, 0.68 
2015,03,12, Virtus.pro, 16, Cloud9, 11, inferno, 22, 18, 1.23 
2015,03,12, TSM, 14, Cloud9, 16, nuke, 18, 20, 0.83 
2015,02,27, CLG, 16, Cloud9, 07, cache, 14, 20, 0.77 
2015,02,25, Cloud9, 16, SKDC, 02, dust2, 16, 06, 1.48 
2015,02,19, Cloud9, 13, Mythic, 13, dust2, 17, 21, 0.79 
2015,02,15, mousesports, 14, Cloud9, 16, dust2, 32, 18, 1.49 
2015,02,15, Cloud9, 16, INSHOCK, 02, inferno, 14, 08, 1.23 
2015,01,24, Cloud9, 02, dignitas, 16, dust2, 09, 17, 0.53 
2015,01,24, Cloud9, 16, NiP, 07, nuke, 24, 14, 1.65 
2015,01,24, Cloud9, 04, KaBuM.TD, 16, mirage, 11, 19, 0.62 
2014,12,07, Denial, 16, Cloud9, 14, mirage, 29, 23, 1.42 
2014,12,07, Cloud9, 16, Denial, 19, inferno, 23, 26, 0.91 
2014,12,06, Cloud9, 10, Virtus.pro, 16, inferno, 14, 20, 0.68 
2014,12,06, Cloud9, 12, Virtus.pro, 16, train, 15, 19, 0.88 
2014,12,06, Virtus.pro, 07, Cloud9, 16, season, 21, 12, 1.24 
2014,12,06, mousesports, 11, Cloud9, 16, train, 25, 14, 1.42 
2014,12,06, mousesports, 16, Cloud9, 12, mirage, 19, 22, 0.87 
2014,12,06, Cloud9, 16, mousesports, 14, cache, 24, 19, 1.10 
